Ext.1(Strain)	Stress	
%	        N/mm2
0.457731	208.6611
0.4592867	208.7875
0.4625075	208.8999
0.4641557	209.0004
0.4647444	209.1289
0.4642146	209.2522
0.4654087	209.361
0.4683268	209.4739
0.467839	209.591
0.4669729	209.7044
0.4703451	209.8106
0.4741124	209.922
0.477308	210.0334
0.4781405	210.1644
0.4799822	210.2717
0.4811091	210.3887
0.4834048	210.5006
0.4847839	210.6343
0.4863144	210.7405
0.4849017	210.8482
0.4888709	210.9467
0.4888541	211.0907
0.4910826	211.1932
0.4934288	211.286
0.4956825	211.3973
0.4947154	211.5108
0.4955648	211.6424
0.4985922	211.7398
0.4955984	211.8361
0.4973812	211.9594
0.502553	212.0718
0.5045123	212.1625
0.5060344	212.2624
0.5093898	212.3873
0.5083807	212.5147
0.5124592	212.6059
0.5127451	212.7344
0.5143765	212.8281
0.5167984	212.9447
0.5176478	213.0623
0.5196829	213.156
0.5200276	213.2809
0.5225673	213.3912
0.5225168	213.4917
0.5231055	213.6
0.5249472	213.7124
0.5248547	213.7999
0.5284623	213.9061
0.5313972	214.0211
0.5338022	214.1387
0.5337854	214.2429
0.5376117	214.3408
0.5392431	214.4568
0.5409502	214.5816
0.5428171	214.6878
0.5431114	214.8008
0.5405045	214.9039
0.5377294	214.9836
0.540639	215.1028
0.5465088	215.1924
0.5525888	215.3017
0.5542454	215.4094
0.5540184	215.4887
0.5539847	215.6094
0.5551116	215.7109
0.557298	215.8373
0.5602077	215.9145
0.5615868	216.0098
0.5625371	216.1207
0.5655813	216.2378
0.5675322	216.3502
0.5682386	216.4393
0.5662624	216.5496
0.5687432	216.6372
0.5711819	216.7485
0.5740243	216.8568
0.5783635	216.9661
0.5804238	217.0599
0.5799445	217.1422
0.5818534	217.2583
0.5830308	217.366
0.5858395	217.465
0.5872018	217.5712
0.5880007	217.668
0.5896993	217.7452
0.5892453	217.8695
0.5912215	217.9664
0.5928782	218.0586
0.5967464	218.1861
0.5954093	218.2684
0.5973435	218.3793
0.6009595	218.4834
0.6038775	218.5725
0.6046344	218.6678
0.6062742	218.7699
0.6051978	218.8517
0.6074432	218.9502
0.6122786	219.0605
0.6144229	219.1496
0.6150789	219.2491
0.6150873	219.3361
0.618224	219.4392
0.6193004	219.5319
0.6204693	219.6283
0.6226726	219.7458
0.6231014	219.8323
0.6269866	219.9515
0.6284666	220.0328
0.6305437	220.109
0.6326208	220.2162
0.6323854	220.3291
0.6324358	220.4172
0.63363	220.4866
0.6359257	220.6063
0.6379103	220.699
0.6388942	220.7803
0.6413161	220.8767
0.6409966	220.9751
0.644024	221.0715
0.6452097	221.1647
0.647598	221.2668
0.6485398	221.3569
0.6487837	221.4703
0.6490107	221.5517
0.6497676	221.6651
0.6546113	221.7366
0.6548468	221.8304
0.6597158	221.9257
0.6635422	222.0231
0.6646942	222.0966
0.664156	222.2023
0.6645597	222.2981
0.667873	222.3758
0.6706649	222.4815
0.6697567	222.5712
0.670278	222.6706
0.6742893	222.768
0.6750377	222.8431
0.6764085	222.9509
0.6762319	223.0576
0.6798311	223.1389
0.6808991	223.2218
0.6816643	223.3171
0.6824212	223.4098
0.6875005	223.4844
0.6891066	223.5818
0.6920667	223.6828
0.6913435	223.7554
0.6916631	223.8595
0.6936898	223.9408
0.6977347	224.0284
0.7000641	224.1164
0.6990129	224.2107
0.7039071	224.2951
0.7080445	224.4044
0.7032849	224.4676
0.7049583	224.5743
0.7103572	224.6697
0.7119465	224.7546
0.7112906	224.8535
0.7124174	224.9582
0.7119129	225.04
0.7167651	225.1266
0.7159494	225.2141
0.7220546	225.2872
0.7168492	225.3747
0.7254435	225.4488
0.7257631	225.5472
0.7155037	225.6347
0.7117279	225.7233
0.7254099	225.8212
0.7285971	225.914
0.719044	225.9896
0.7248213	226.0875
0.7389406	226.1533
0.7444404	226.2636
0.7499485	226.3527
0.7421614	226.4294
0.7465848	226.5392
0.7429098	226.6154
0.744432	226.6895
0.7466016	226.7713
0.7529423	226.8666
0.7498813	226.9298
0.7492841	227.0236
0.7507222	227.1163
0.7540523	227.1779
0.7554398	227.3007
0.7553557	227.3841
0.7570629	227.4541
0.7615787	227.5478
0.7636978	227.6473
0.7655395	227.7265
0.7666748	227.812
0.767028	227.9026
0.7690883	227.984
0.7717792	228.0746
0.7768165	228.1249
0.7787507	228.2316
0.7773126	228.3109
0.7807941	228.3932
0.7852007	228.4792
0.7879926	228.5549
0.783586	228.6403
0.7852763	228.7129
0.788371	228.7911
0.7902294	228.9009
0.7921467	228.962
0.7945098	229.0744
0.795889	229.1273
0.798538	229.2164
0.8000937	229.3075
0.8021203	229.3858
0.8011616	229.4744
0.8011701	229.551
0.8064175	229.6443
0.808646	229.7059
0.8106306	229.7857
0.8118331	229.8805
0.8137673	229.9551
0.8141457	230.04
0.8164752	230.1219
0.8164919	230.1866
0.8193848	230.2778
0.8207891	230.3591
0.8216637	230.4529
0.825574	230.5332
0.8262469	230.6285
0.8277269	230.7088
0.8289378	230.7969
0.831797	230.8523
0.834488	230.9564
0.8344544	231.0264
0.8368426	231.0844
0.8389955	231.1958
0.8390796	231.2501
0.8415519	231.3237
0.8442597	231.4118
0.8453445	231.4993
0.847245	231.577
0.8477327	231.6449
0.8503902	231.7371
0.8548219	231.8117
0.8544518	231.878
0.8566047	231.9821
